run,schedule,step,N,D,L
small_cooled_8xh100,wsd,3000,162354816,786432000,3.427459716796875
small_cooled_8xh100,wsd,6000,162354816,1572864000,3.314142608642578
small_cooled_8xh100,wsd,10000,162354816,2621440000,3.2488365173339844
small_cooled_8xh100,wsd,16000,162354816,4194304000,3.2012966156005858
