date,axis,op,small_params,target_params,L1,L2,hparams_version,fit_steps,steps_to_L2,tokens_to_L2,flops_warmstart,wall_seconds,reached,n_seeds,p_value,contributor,ref_version,c_amortized,c_cold
2026-06-28,transfer,stack_pad,123721344,214390464,3.25,3.18,H1-lr0.5-wu50-cd0.5,0,11800,3093299200,4.72646e+18,,1,1,,baseline,ref1,0.89057,1.32955
2026-06-28,transfer,ligo,123721344,214390464,3.25,3.18,H1-lr0.5-wu50-cd0.5,500,12600,3434086400,5.25108e+18,,1,1,,ligo,ref1,0.98941,1.42822
